	Votação	Vocabulário	Commit	Linha
Média	0.545039682539643	0.297619047619036	0.489583333333357	0.538520408163286
Mediana	0.5	0	0.5	0.5
Mínimo	0	0	0	0
Máximo	1	1	1	1
1º quartil	0.333333333333	0	0.15625000000025	0.1607142857145
3º quartil	0.7625	0.5	1	1
Desvio Padrão	0.296948892765714	0.369509581718503	0.382114440283582	0.40235828159601
IQR	0.429166666667	0.5	0.84374999999975	0.8392857142855
