	Votação	Vocabulário	Commit	Linha
Média	0.477884040077107	0.0912650754199286	0.151530769701464	0.164924385571393
Mediana	0.8284601936185	0	0.598021576383	0.560645227859
Mínimo	-0.683007499856	-1	-1	-1
Máximo	1	1	1	1
1º quartil	-0.20738957471925	-0.074752697048	-0.533333333333	-0.57075187496375
3º quartil	1	0.681818181818	0.92346207393775	0.86670975064525
Desvio Padrão	0.678128515131475	0.664970184770519	0.79077971523587	0.796093222205486
IQR	1.20738957471925	0.756570878866	1.45679540727075	1.437461625609
