	Votação	Vocabulário	Commit	Linha
Média	0.618480725623679	0.259523809523857	0.492267058338571	0.501615646258607
Mediana	0.666666666667	0	0.571428571429	0.571428571429
Mínimo	0	0	0	0
Máximo	1	1	1	1
1º quartil	0.5	0	0.269841269841	0.2767857142855
3º quartil	0.8	0.5	0.666666666667	0.666666666667
Desvio Padrão	0.248182634790226	0.306225816091585	0.332824290138706	0.341486367615844
IQR	0.3	0.5	0.396825396826	0.3898809523815
