	Votação	Vocabulário	Commit	Linha
Média	0.860119047619071	0.297619047619036	0.630952380952393	0.598214285714286
Mediana	1	0	0.666666666667	0.5833333333335
Mínimo	0	0	0	0
Máximo	1	1	1	1
1º quartil	0.72916666666675	0	0.45833333333325	0.31249999999975
3º quartil	1	0.5	1	1
Desvio Padrão	0.253629589838899	0.387848191784713	0.401532923938344	0.403848239987052
IQR	0.27083333333325	0.5	0.54166666666675	0.68750000000025
